Search Size,Search Steps (avg),Search Time (avg)
1000000,18.861,2.223086357116699e-05
2000000,19.972,2.402305603027344e-05
3000000,20.562,2.5582075119018556e-05
4000000,20.975,2.657318115234375e-05
5000000,21.258,2.6463985443115235e-05
6000000,21.61,2.7872800827026366e-05
7000000,21.752,2.8880834579467775e-05
8000000,21.829,2.9304981231689453e-05
9000000,22.176,2.9315948486328124e-05
10000000,22.334,3.0449867248535155e-05
11000000,22.461,2.8856992721557616e-05
12000000,22.561,3.0369997024536133e-05
13000000,22.777,3.132486343383789e-05
14000000,22.791,2.9636144638061523e-05
15000000,22.839,3.0514955520629884e-05
16000000,22.974,3.211402893066406e-05
17000000,22.96,2.9889106750488282e-05
18000000,23.135,3.209710121154785e-05
19000000,23.196,3.266620635986328e-05
20000000,23.348,3.1919240951538084e-05
21000000,23.506,3.198003768920898e-05
22000000,23.385,3.331184387207031e-05
23000000,23.516,3.1707048416137696e-05
24000000,23.602,3.0965089797973635e-05
25000000,23.625,3.2362937927246096e-05
26000000,23.683,3.454089164733887e-05
27000000,23.79,3.2856225967407226e-05
28000000,23.794,3.431010246276856e-05
29000000,23.852,3.3962011337280274e-05
30000000,23.83,3.4678220748901366e-05
31000000,23.926,3.473496437072754e-05
32000000,23.964,3.607511520385742e-05
33000000,23.997,3.6665916442871096e-05
34000000,24.035,3.591299057006836e-05
35000000,24.015,3.586578369140625e-05
36000000,24.107,3.4875154495239255e-05
37000000,24.162,3.7253856658935545e-05
38000000,24.258,3.494095802307129e-05
39000000,24.189,3.641510009765625e-05
40000000,24.323,3.6046743392944337e-05
41000000,24.382,3.56130599975586e-05
42000000,24.369,3.666400909423828e-05
43000000,24.467,3.750276565551758e-05
44000000,24.553,3.6717891693115234e-05
45000000,24.518,3.719186782836914e-05
46000000,24.561,3.695988655090332e-05
47000000,24.616,3.754186630249023e-05
48000000,24.698,3.794574737548828e-05
49000000,24.672,3.87880802154541e-05
50000000,24.702,3.724193572998047e-05
51000000,24.692,3.736186027526855e-05
52000000,24.66,3.8398027420043945e-05
53000000,24.678,3.611612319946289e-05
54000000,24.741,3.725433349609375e-05
55000000,24.784,3.9383888244628903e-05
56000000,24.8,3.809094429016113e-05
57000000,24.721,3.879785537719726e-05
58000000,24.788,3.729319572448731e-05
59000000,24.87,3.8717985153198245e-05
60000000,24.881,3.783822059631348e-05
61000000,24.99,3.885483741760254e-05
62000000,24.871,3.817105293273926e-05
63000000,24.906,3.882908821105957e-05
64000000,24.994,4.121708869934082e-05
65000000,24.953,3.818202018737793e-05
66000000,25.011,3.919315338134766e-05
67000000,24.969,3.988289833068848e-05
68000000,25.082,3.9498090744018555e-05
69000000,25.052,3.9170026779174804e-05
70000000,25.068,3.926396369934082e-05
71000000,25.078,3.818297386169434e-05
72000000,25.048,3.839492797851562e-05
73000000,25.248,3.941822052001953e-05
74000000,25.306,4.009175300598145e-05
75000000,25.256,3.8275957107543945e-05
76000000,25.247,3.88329029083252e-05
77000000,25.198,4.0253877639770505e-05
78000000,25.167,4.073214530944824e-05
79000000,25.287,3.9145946502685546e-05
80000000,25.369,3.877782821655273e-05
81000000,25.276,3.944683074951172e-05
82000000,25.285,4.211688041687012e-05
83000000,25.396,4.7640085220336916e-05
84000000,25.451,4.2728900909423826e-05
85000000,25.416,4.4053077697753904e-05
86000000,25.438,4.266023635864258e-05
87000000,25.447,4.5567989349365236e-05
88000000,25.439,4.3906927108764646e-05
89000000,25.431,4.696178436279297e-05
90000000,25.605,4.1912078857421875e-05
91000000,25.486,4.459691047668457e-05
92000000,25.57,4.2801856994628906e-05
93000000,25.605,4.484105110168457e-05
94000000,25.488,5.1892995834350586e-05
95000000,25.523,4.452204704284668e-05
96000000,25.649,5.164027214050293e-05
97000000,25.603,4.6746015548706056e-05
98000000,25.592,5.075788497924805e-05
99000000,25.556,4.898977279663086e-05
100000000,25.724,5.1756143569946286e-05
