Search Size	Search Steps (avg)
1000000	18.861
2000000	19.972
3000000	20.562
4000000	20.975
5000000	21.258
6000000	21.61
7000000	21.752
8000000	21.829
9000000	22.176
10000000	22.334
11000000	22.461
12000000	22.561
13000000	22.777
14000000	22.791
15000000	22.839
16000000	22.974
17000000	22.96
18000000	23.135
19000000	23.196
20000000	23.348
21000000	23.506
22000000	23.385
23000000	23.516
24000000	23.602
25000000	23.625
26000000	23.683
27000000	23.79
28000000	23.794
29000000	23.852
30000000	23.83
31000000	23.926
32000000	23.964
33000000	23.997
34000000	24.035
35000000	24.015
36000000	24.107
37000000	24.162
38000000	24.258
39000000	24.189
40000000	24.323
41000000	24.382
42000000	24.369
43000000	24.467
44000000	24.553
45000000	24.518
46000000	24.561
47000000	24.616
48000000	24.698
49000000	24.672
50000000	24.702
51000000	24.692
52000000	24.66
53000000	24.678
54000000	24.741
55000000	24.784
56000000	24.8
57000000	24.721
58000000	24.788
59000000	24.87
60000000	24.881
61000000	24.99
62000000	24.871
63000000	24.906
64000000	24.994
65000000	24.953
66000000	25.011
67000000	24.969
68000000	25.082
69000000	25.052
70000000	25.068
71000000	25.078
72000000	25.048
73000000	25.248
74000000	25.306
75000000	25.256
76000000	25.247
77000000	25.198
78000000	25.167
79000000	25.287
80000000	25.369
81000000	25.276
82000000	25.285
83000000	25.396
84000000	25.451
85000000	25.416
86000000	25.438
87000000	25.447
88000000	25.439
89000000	25.431
90000000	25.605
91000000	25.486
92000000	25.57
93000000	25.605
94000000	25.488
95000000	25.523
96000000	25.649
97000000	25.603
98000000	25.592
99000000	25.556
100000000	25.724
